igbo_word,english_translation,pronunciation_guide
dị mma n’anya,be a pleasant sight,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b745d.webm
tà amōōsū,be a witch; practice witchcraft; bewitch,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63d9cf1fbf3629b82e3dd629.mp3
kpè,"in a spot in front or at the back; follow, especially behind or in front",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b7d3d.webm
ọjị̀,is a large and tall hardwood tree native to the west coast of tropical Africa that can live up to 500 years; iroko (Milicia excelsa),https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63e25541acc4913d18078497.mp3
kwà,"of a thing or desire, not getting to someone or maybe something",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6352a5867bc6610d7e95926e.mp3
dọ ọdụ̀,(of a baby) to start sitting before starting to crawl,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6345b92e100e32790b946cd5.mp3
àgbà,(of a person) prominence,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/634fbf6f54523912e0f7007b.mp3
gbàrà ike,"(of a task or problem) get or become tough, unresolvable or unsolvable",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b77ed.mp3
kpọ ǹtu,hit a nail; nail;,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b7dec.mp3
jụ ajụjụ,ask a question,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b6f12.webm
