igbo_word,english_translation,pronunciation_guide
dị mma n’anya,be a pleasant sight,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b745d.webm
tà amōōsū,be a witch; practice witchcraft; bewitch,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63d9cf1fbf3629b82e3dd629.mp3
kpè,"in a spot in front or at the back; follow, especially behind or in front",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b7d3d.webm
ọjị̀,is a large and tall hardwood tree native to the west coast of tropical Africa that can live up to 500 years; iroko (Milicia excelsa),https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63e25541acc4913d18078497.mp3
kwà,"of a thing or desire, not getting to someone or maybe something",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6352a5867bc6610d7e95926e.mp3
dọ ọdụ̀,(of a baby) to start sitting before starting to crawl,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6345b92e100e32790b946cd5.mp3
àgbà,(of a person) prominence,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/634fbf6f54523912e0f7007b.mp3
gbàrà ike,"(of a task or problem) get or become tough, unresolvable or unsolvable",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b77ed.mp3
kpọ ǹtu,hit a nail; nail;,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b7dec.mp3
jụ ajụjụ,ask a question,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b6f12.webm
bo,put a load on; laden;,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b7270.mp3
kwubì,end a speech; declare a word,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b7e6d.webm
yi,fix a time or date for something to take place; schedule,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b6e91.mp3
-tè aka,for a long time; for long,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6455271ca5cbaf7db05c3154.mp3
kpē m̄kpēsā,lay a complaint,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b7d33.webm
si ọnyà,set a trap,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/62e5cb9842b322a6bd4d131f.mp3
kpụ,use a malleable material to create something; mold; sculpt;,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b7dee.webm
hụta,spy a place,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/648cab585b047d57fa38a0d1.mp3
kọ akụkọ,tell a story; give news;,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b6fb5.mp3
kùsa,Drop a child or thing carefully,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/648b2552ecaee5c38e40807b.mp3
ụsụ,"bat; a nocturnal mammal capable of sustained flight, with extensive membranous wings",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b8c8a.webm
za ahà,bear a name; answer to one's name,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b6e09.mp3
tụ voòtù,cast a vote,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/627120355ba83108155e3f3e.webm
chebà echìchè,give a thought to something;,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/64811a91c2f19128e86fd6e1.mp3
gbu,take a life; kill,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b7874.mp3
mgbadà,down a distance,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b773d.webm
cherịta,face a person,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/640ce09ff0bbfe8549a5d3c7.mp3
gba egbè,fire a gun; shoot,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b756d.webm
nye efè,"give a chance, opportunity",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6444fe0046d9856dd42c9ccb.mp3
alọbà,guy; a young male or female,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/645fdea3c19548196bd299c6.mp3
afụ̀,half a coin; half a kobo; half a penny,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b6e5a.webm
yì akwà,wear a cloth,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63b12cb363110821906a80de.mp3
sụ̀,have a wear (shoe or cloth) on,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b79e2.webm
yì,have a wear on; wear; put on (a wear),https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6357c9de7379dd3e27737435.mp3
-tọ̀,into a mess,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6378216bc9fd9f03a3e3236d.mp3
dọghàrị̀,keep a heavy object in the wrong position,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/62fcfd388981b582c7b3faea.mp3
gbà ndụ̀,make a covenant,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b7800.mp3
hụ̀ba āmā,make a distinguishing mark: recognize or notice something,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/642cebfd3e6826526aff278d.mp3
gwu,"make a hole in a very thick surface, especially the ground; dig",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b7942.webm
metụ,make a part of something get in contact with another; touch,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/639868de7300288334dbdc0c.mp3
kwe nkwà,make a promise,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b82a7.webm
ute,mat; a woven fabric that you place on the ground to lie on,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63273240a0c15823473003ac.mp3
zọhiè ụkwụ̄,miss a step; step into a wrong place or spot; misstep,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/639d58a12eb163932e7c9e3f.mp3
kwughe,open a lid or cover,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b8c26.webm
kà ìkpe,pass a judgement; say what the judgement is; give a decision concerning a court case,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/627d223be378ba096c74ea59.webm
